Ticker ;Nombre;Indice ;Pais
1COV;COVESTRO;DAX 30;Alemania
A2A;AEM SPA;Ftse Mib;Italia
AAPL;APPLE INC;Nasdaq 100;USA
ABNB;AIRBNB RG-A;Nasdaq 100;USA
ACS;ACS;IBEX 35;España
ACX;ACERINOX SA;IBEX 35;España
ADBE;ADOBE SYSTEMS INC;Nasdaq 100;USA
ADI;ANALOG DEVICES;Nasdaq 100;USA
ADP;AUTOMATIC DATA PROC.;Nasdaq 100;USA
ADS;ADIDAS REGISTERED;DAX 30;Alemania
ADSK;AUTODESK INC;Nasdaq 100;USA
AENA;AENA;IBEX 35;España
AEP;AMER.ELECT.POWER;Nasdaq 100;USA
AIR;AIRBUS;DAX 30;Alemania
ALGN;ALIGN TECHNOLOGY;Nasdaq 100;USA
ALV;ALLIANZ SE NPV;DAX 30;Alemania
AMAT;APPLIED MATERIALS;Nasdaq 100;USA
AMD;ADVANCED MICRO DE;Nasdaq 100;USA
AMGN;AMGEN INC;Nasdaq 100;USA
AMP;AMPLIFON SPA;Ftse Mib;Italia
AMS;AMADEUS;IBEX 35;España
AMZN;AMAZON.COM.INC;Nasdaq 100;USA
ANA;ACCIONA;IBEX 35;España
ANE;CRP ACC ENER RN BR;IBEX 35;España
ANSS;ANSYS;Nasdaq 100;USA
ASML;ASML HOLDING;Nasdaq 100;USA
ATL;ATLANTIA SPA;Ftse Mib;Italia
ATVI;ACTIVISION BLIZZ;Nasdaq 100;USA
AVGO;BROADCOM RG;Nasdaq 100;USA
AZM;AZIMUT;Ftse Mib;Italia
BAMI;BANCO BPM SPA;Ftse Mib;Italia
BAS;BASF SE;DAX 30;Alemania
BAYN;BAYER AKTEIENGESELLS;DAX 30;Alemania
BBVA;BANCO DE BILBAO VIZCAYA;IBEX 35;España
BEI;BEIERSDORF AG;DAX 30;Alemania
BGN;BANCA GENERALI;Ftse Mib;Italia
BIDU;BAIDU.COM;Nasdaq 100;USA
BIIB;BIOGEN IDEC INC;Nasdaq 100;USA
BKNG;BOOKING HOLDINGS;Nasdaq 100;USA
BKT;BANKINTER;IBEX 35;España
BMED;BCA MEDIOLANUM;Ftse Mib;Italia
BMW;BAYERISCHE MOTORE;DAX 30;Alemania
BNR;BRENNTAG AG;DAX 30;Alemania
BPE;BPER BANCA N;Ftse Mib;Italia
BZU;BUZZI;Ftse Mib;Italia
CABK;CAIXABANK;IBEX 35;España
CDNS;CADENCE DESIGN;Nasdaq 100;USA
CHTR;CHARTER COMMUNICATIONS CL A;Nasdaq 100;USA
CLNX;CELLNEX TELECOM;IBEX 35;España
CMCSA;COMCAST CO CL A;Nasdaq 100;USA
CNHI;CNH INDUSTRIAL NV;Ftse Mib;Italia
COL;INMOBILIARIA COLONIAL;IBEX 35;España
CON;CONTINENTAL AG;DAX 30;Alemania
COST;COSTCO WHOLESALE;Nasdaq 100;USA
CPR;DAVIDE CAMPARI-MILANO;Ftse Mib;Italia
CPRT;COPART INC;Nasdaq 100;USA
CRWD;CROWDSTRIKE HOLDINGS;Nasdaq 100;USA
CSCO;CISCO SYSTEMS INC;Nasdaq 100;USA
CSX;CSX CORP;Nasdaq 100;USA
CTAS;CINTAS CORP;Nasdaq 100;USA
CTSH;COGNIZANT TECH SOL;Nasdaq 100;USA
DB1;DEUTSCHE BOERSE AG;DAX 30;Alemania
DBK;DEUTSCHE BANK AG-REG;DAX 30;Alemania
DDOG;DATADOG RG-A;Nasdaq 100;USA
DIA;DIASORIN SPA;Ftse Mib;Italia
DLTR;DOLLAR TREE;Nasdaq 100;USA
DOCU;DOCUSIGN RG;Nasdaq 100;USA
DPW;DEUTSCHE POST AG;DAX 30;Alemania
DTE;DEUTSCHE TELEKOM;DAX 30;Alemania
DTG;DAIM TR HLD I 21;DAX 30;Alemania
DXCM;DEXCOM;Nasdaq 100;USA
EA;ELECTRONIC ARTS INC;Nasdaq 100;USA
EBAY;EBAY.INC.;Nasdaq 100;USA
ELE;ENDESA;IBEX 35;España
ENEL;ENEL SPA;Ftse Mib;Italia
ENG;ENAGAS;IBEX 35;España
ENI;ENI SPA;Ftse Mib;Italia
ENR;SIEMENS ENERGY;DAX 30;Alemania
EOAN;E.ON AG NEW;DAX 30;Alemania
EXC;EXELON;Nasdaq 100;USA
FAST;FASTENAL CO;Nasdaq 100;USA
FDR;FLUIDRA;IBEX 35;España
FER;FERROVIAL;IBEX 35;España
FISV;FISERV INC;Nasdaq 100;USA
FME;FRESENIUS MEDICAL;DAX 30;Alemania
FRE;FRESENIUS AG;DAX 30;Alemania
FTNT;FORTINET;Nasdaq 100;USA
G;ASSICURAZIONI GEN;Ftse Mib;Italia
GILD;GILEAD SCIENCES INC;Nasdaq 100;USA
GOOG;ALPHABET CL C;Nasdaq 100;USA
GOOGL;ALPHABET CL A;Nasdaq 100;USA
GRF;GRIFOLS CL.A;IBEX 35;España
HEI;HEIDELBERGCEMENT AG;DAX 30;Alemania
HEN3;HENKEL KGAA-VORZUG;DAX 30;Alemania
HER;HERA SPA;Ftse Mib;Italia
HNR1;HANNOVER RUECKVERSIC;DAX 30;Alemania
HON;HONEYWELL INTERNATIONAL INC;Nasdaq 100;USA
IAG;IAG GROUP;IBEX 35;España
IBE;IBERDROLA;IBEX 35;España
IDR;INDRA SISTEMAS;IBEX 35;España
IDXX;IDEXX LABORATORIES;Nasdaq 100;USA
IFX;INFINEON TECH.;DAX 30;Alemania
ILMN;ILLUMINA;Nasdaq 100;USA
INTC;INTEL CORP;Nasdaq 100;USA
INTU;INTUIT INC;Nasdaq 100;USA
INW;INWIT;Ftse Mib;Italia
IP;INTERPUMP GROUP;Ftse Mib;Italia
ISP;INTESA SANPAOLO SPA;Ftse Mib;Italia
ISRG;INTUITIVE SURGICAL;Nasdaq 100;USA
ITX;INDITEX;IBEX 35;España
IVG;IVECO GROUP;Ftse Mib;Italia
JD;JD.COM INC SPON.ADR 2ACTIONS A;Nasdaq 100;USA
KDP;KEURIG DR PEPPER;Nasdaq 100;USA
KHC;THE KRAFT HEINZ CO;Nasdaq 100;USA
KLAC;KLA-TENCOR CORP.;Nasdaq 100;USA
LCID;LUCID GROUP INC;Nasdaq 100;USA
LDO;LEONARDO - FINMECCANICA SPA;Ftse Mib;Italia
LIN;LINDE RG;DAX 30;Alemania
LRCX;LAM RESEARCH CORP;Nasdaq 100;USA
LULU;LULULEMON ATHLETIC;Nasdaq 100;USA
MAP;MAPFRE;IBEX 35;España
MAR;MARRIOTT INTERNATIONAL A;Nasdaq 100;USA
MB;MEDIOBANCA SPA;Ftse Mib;Italia
MBG;MERCEDES BENZ GROUP;DAX 30;Alemania
MCHP;MICROCHIP TECHNOLOGY INC;Nasdaq 100;USA
MDLZ;MONDELEZ;Nasdaq 100;USA
MEL;MELIA HOTELS;IBEX 35;España
MELI;MERCADOLIBRE;Nasdaq 100;USA
META;META PLATFORMS INC;Nasdaq 100;USA
MNST;MONSTER BEVERAGE;Nasdaq 100;USA
MONC;MONCLER;Ftse Mib;Italia
MRK;MERCK KGAA;DAX 30;Alemania
MRL;MERLIN PROPERTIES;IBEX 35;España
MRNA;MODERNA INC;Nasdaq 100;USA
MRVL;MARVELL TECH RG;Nasdaq 100;USA
MSFT;MICROSOFT CORP;Nasdaq 100;USA
MTCH;MATCH GROUP;Nasdaq 100;USA
MTS;ARCELORMITTAL;IBEX 35;España
MTX;MTU AERO ENGINES GMB;DAX 30;Alemania
MU;MICRON TECHNOLOGY;Nasdaq 100;USA
MUV2;MUENCHENER RUECKV;DAX 30;Alemania
NFLX;NETFLIX INC.;Nasdaq 100;USA
