TKR;Precio;Var. (%);Var. (€) ;Máx.;Mín.;Volumen
ANA;181.90;-0.05;-0.10;182.40;179.90;79878
ACX;8.41;-2.57;-0.22;8.65;8.27;845006
ACS;23.41;-1.18;-0.28;23.55;23.21;360948
AENA;106.65;-3.18;-3.50;109.25;106.25;134663
AMS;49.31;-0.60;-0.30;49.89;48.95;423765
MTS;21.77;-1.89;-0.42;22.18;21.43;235803
BBVA;4.82;-1.67;-0.08;4.90;4.79;11750293
SAB;0.70;-2.50;-0.01;0.73;0.70;15964327
SAN;2.57;-2.31;-0.06;2.63;2.55;32176052
BKT;5.89;-2.42;-0.14;6.07;5.85;2220906
CABK;3.42;-0.64;-0.02;3.45;3.38;9689833
CLNX;32.31;-3.70;-1.24;33.76;32.06;781670
ANE;39.82;-0.80;-0.32;40.40;39.38;240531
ENG;15.79;-2.38;-0.38;16.16;15.62;1081685
ELE;15.73;-2.21;-0.35;16.03;15.66;699324
FER;23.88;-0.75;-0.18;23.98;23.65;567831
FDR;15.20;-4.70;-0.75;15.98;15.04;590789
GRF;8.56;-4.80;-0.43;9.06;8.53;1670148
IAG;1.13;-2.03;-0.02;1.15;1.11;11383954
IBE;9.78;-0.79;-0.07;9.86;9.68;5772972
ITX;21.87;-0.95;-0.21;22.16;21.66;2325425
IDR;7.95;-1.18;-0.09;8.10;7.92;496934
COL;4.87;-5.18;-0.26;5.16;4.86;1312089
ROVI;44.38;-1.86;-0.84;44.98;43.96;55330
MAP;1.64;-0.97;-0.01;1.65;1.62;2211823
MEL;4.56;-5.08;-0.24;4.84;4.56;1183321
MRL;7.89;-3.43;-0.28;8.20;7.80;789309
NTGY;24.08;-1.91;-0.47;24.51;23.98;282458
PHM;55.32;-1.88;-1.06;56.42;54.66;34914
RED;15.86;-2.37;-0.38;16.21;15.78;831533
REP;12.73;2.58;0.32;12.80;12.19;5219275
SCYR;2.26;-1.99;-0.04;2.30;2.20;3040202
SGRE;17.92;-0.28;-0.05;17.98;17.92;895926
SLR;16.73;-1.93;-0.33;17.41;16.54;541545
TEF;3.38;-3.17;-0.11;3.48;3.37;14368909
