TKR;Precio;Var. (%);Var. (€) ;Máx.;Mín.;Volumen
1COV;122.80;-2.69;-3.40;127.44;121.92;775574
ADS;93.37;-1.43;-1.35;94.95;92.81;258284
AIR;166.12;-0.65;-1.08;166.56;164.96;569424
ALV;41.91;-0.91;-0.38;42.22;41.38;2384098
BAS;48.65;0.01;0.01;49.32;48.59;2265672
BAYN;71.47;-1.89;-1.38;72.59;70.64;1540008
BEI;101.00;0.15;0.15;102.00;1.25;206950
BMW;64.78;-1.55;-1.02;65.58;64.30;270011
BNR;46.31;-5.57;-2.73;48.80;45.49;965641
CON;31.53;-1.47;-0.47;32.00;31.25;1114406
DB1;24.43;-1.43;-0.35;24.88;24.08;1116829
DBK;7.93;-1.69;-0.13;8.14;7.90;10868838
DPW;173.70;1.28;2.20;174.15;171.30;337321
DTE;32.00;-2.33;-0.76;32.71;31.83;2166362
DTG;17.95;-2.47;-0.45;18.30;17.92;5147082
ENR;8.06;-2.23;-0.18;8.25;8.20;3994450
EOAN;21.74;-3.59;-0.81;22.41;21.63;1420189
FME;28.37;-4.83;-1.44;29.45;28.32;684957
FRE;159.50;0.54;0.85;159.75;158.45;74288
HEI;42.06;-2.84;-1.23;43.03;41.71;440558
HEN3;62.02;-0.58;-0.36;62.48;61.42;475973
HNR1;25.48;3.12;0.77;25.89;24.63;6823637
IFX;285.80;-0.59;-1.70;288.40;284.60;427496
LIN;53.01;-3.62;-1.99;54.55;52.30;2697461
MBG;173.10;-0.37;-0.65;175.25;172.45;203278
MRK;159.90;-0.78;-1.25;161.80;158.20;68034
MTX;258.00;0.58;1.50;258.40;255.50;353092
MUV2;59.60;-1.16;-0.70;60.44;57.96;1032478
PAH3;49.38;-2.10;-1.06;51.24;49.11;373718
PUM;43.87;-0.14;-0.06;44.17;43.68;311286
QIA;40.11;1.08;0.43;40.41;39.82;1952046
RWE;87.24;-1.43;-1.27;88.40;86.79;1418315
SAP;391.40;-3.43;-13.90;411.80;390.90;83602
SHL;104.24;-1.96;-2.08;106.16;103.28;1342958
SIE;11.51;-5.62;-0.69;12.15;11.28;2030401
SRT3;354.60;-4.25;-15.8;368.00;354.60;49.084
SY1;957.20;-3.93;-3.92;980.60;942.40;334.57
VNA;200.40;0.75;0.15;201.80;196.90;1453027.00
VOW3;1224.20;-1.51;-1.88;1239.40;1213.40;585082.00
ZAL;211.10;2.52;0.52;217.50;204.00;1061407.00
;;;;;;
