TKR;Precio;Var. (%);Var. (€) ;Max.;Min.;Volumen
A2A;1.01;-3.86;-0.04;1.05;1.01;5771480
AMP;27.04;-1.96;-0.54;27.66;26.83;406526
G;14.20;-2.03;-0.29;14.48;14.13;3420008
ATL;22.75;-0.22;-0.05;22.80;22.73;4526776
AZM;15.30;-1.89;-0.29;15.66;15.20;450311
BGN;28.84;1.62;0.46;29.69;28.29;1192755
BAMI;2.75;-3.20;-0.09;2.83;2.72;11662975
BMED;6.71;-1.12;-0.07;6.84;6.69;943914
BPE;1.65;-1.88;-0.03;1.68;1.61;8901825
BZU;15.04;-2.15;-0.33;15.28;14.93;265152
CNHI;12.26;-0.93;-0.11;12.44;12.03;2387480
CPR;9.09;-1.41;-0.13;9.23;9.06;1191149
DIA;116.80;-1.64;-1.95;119.75;115.55;66923
ENEL;4.32;-3.18;-0.14;4.44;4.27;28206743
ENI;11.72;1.59;0.18;11.75;11.36;16870222
RACE;193.20;-1.63;-3.20;194.70;190.50;369712
HER;2.14;-5.08;-0.11;2.27;2.14;1860133
IP;35.70;-0.56;-0.20;36.26;35.50;226301
ISP;1.74;-2.62;-0.04;1.78;1.71;98458233
INW;9.11;-1.38;-0.12;9.24;9.02;729674
IVG;5.10;-0.91;-0.04;5.14;5.02;1313665
LDO;7.38;-1.63;-0.12;7.55;7.27;1878541
MB;8.33;-1.65;-0.14;8.52;8.30;2841836
MONC;45.40;-0.85;-0.39;45.88;44.90;485662
PIRC;3.36;-4.08;-0.14;3.47;3.31;2838137
PST;8.06;-1.44;-0.11;8.19;8.02;1996647
PRY;30.96;-1.81;-0.57;31.57;30.70;579279
REC;37.03;-3.72;-1.43;38.48;36.85;214346
SPM;0.73;8.56;0.05;0.73;0.66;57789987
SRG;4.27;-2.49;-0.10;4.36;4.26;5144914
STLA;12.62;-2.37;-0.30;12.85;12.39;12463118
STM;34.97;1.47;0.50;35.15;34.04;2828021
TIT;0.19;-4.04;-0.01;0.20;0.19;94523782
TEN;14.51;0.45;0.06;14.52;13.89;2774490
TRN;6.43;-1.77;-0.11;6.57;6.28;4677228
UCG;10.80;-2.31;-0.25;11.01;10.75;14428149
UNI;4.10;-1.49;-0.06;4.18;4.09;1168309
